Symbol,Name,Exchange,MarketCap,Sector,Industry,LastPrice,Volume,IsOTC
"NVDA","NVIDIA Corporation Common Stock","NASDAQ",4531950000000,"","",186.5,,false
"AAPL","Apple Inc. Common Stock","NASDAQ",4017099326580,"","",271.86,,false
"GOOG","Alphabet Inc. Class C Capital Stock","NASDAQ",3786624600000,"","",313.8,,false
"GOOGL","Alphabet Inc. Class A Common Stock","NASDAQ",3776971000000,"","",313,,false
"MSFT","Microsoft Corporation Common Stock","NASDAQ",3594446481511,"","",483.62,,false
"AMZN","Amazon.com, Inc. Common Stock","NASDAQ",2467515659659,"","",230.82,,false
"META","Meta Platforms, Inc. Class A Common Stock","NASDAQ",1663775061504,"","",660.09,,false
"AVGO","Broadcom Inc. Common Stock","NASDAQ",1640954861834,"","",346.1,,false
"TSLA","Tesla, Inc. Common Stock","NASDAQ",1495687395783,"","",449.72,,false
"WMT","Walmart Inc. Common Stock","NASDAQ",887956301459,"","",111.41,,false
"PLTR","Palantir Technologies Inc. Class A Common Stock","NASDAQ",423655809080,"","",177.75,,false
"ASML","ASML Holding N.V. New York Registry Shares","NASDAQ",420758520679,"","",1069.86,,false
"NFLX","Netflix, Inc. Common Stock","NASDAQ",397291436358,"","",93.76,,false
"COST","Costco Wholesale Corporation Common Stock","NASDAQ",382766347882,"","",862.34,,false
"AMD","Advanced Micro Devices, Inc. Common Stock","NASDAQ",348661376206,"","",214.16,,false
"MU","Micron Technology, Inc. Common Stock","NASDAQ",321231598182,"","",285.41,,false
"CSCO","Cisco Systems, Inc. Common Stock (DE)","NASDAQ",304352814188,"","",77.03,,false
"AZN","AstraZeneca PLC American Depositary Shares","NASDAQ",285116458274,"","",91.93,,false
"APP","Applovin Corporation Class A Common Stock","NASDAQ",227720838100,"","",673.82,,false
"TMUS","T-Mobile US, Inc. Common Stock","NASDAQ",227101585343,"","",203.04,,false
"LRCX","Lam Research Corporation Common Stock","NASDAQ",215007215400,"","",171.18,,false
"SHOP","Shopify Inc. Class A Subordinate Voting Shares","NASDAQ",209467210940,"","",160.97,,false
"AMAT","Applied Materials, Inc. Common Stock","NASDAQ",203778515628,"","",256.99,,false
"ISRG","Intuitive Surgical, Inc. Common Stock","NASDAQ",200772395904,"","",566.36,,false
"LIN","Linde plc Ordinary Shares","NASDAQ",199102354263,"","",426.39,,false
"PEP","PepsiCo, Inc. Common Stock","NASDAQ",196240654309,"","",143.52,,false
"INTU","Intuit Inc. Common Stock","NASDAQ",184417728000,"","",662.42,,false
"QCOM","QUALCOMM Incorporated Common Stock","NASDAQ",183194550000,"","",171.05,,false
"AMGN","Amgen Inc. Common Stock","NASDAQ",176250108425,"","",327.31,,false
"BKNG","Booking Holdings Inc. Common Stock","NASDAQ",172622716484,"","",5355.33,,false
"INTC","Intel Corporation Common Stock","NASDAQ",161511300000,"","",36.9,,false
"PDD","PDD Holdings Inc. American Depositary Shares","NASDAQ",160973712326,"","",113.39,,false
"KLAC","KLA Corporation Common Stock","NASDAQ",159652202057,"","",1215.08,,false
"TXN","Texas Instruments Incorporated Common Stock","NASDAQ",157637007740,"","",173.49,,false
"GILD","Gilead Sciences, Inc. Common Stock","NASDAQ",152281016927,"","",122.74,,false
"ADBE","Adobe Inc. Common Stock","NASDAQ",146505814000,"","",349.99,,false
"ADI","Analog Devices, Inc. Common Stock","NASDAQ",132794191106,"","",271.2,,false
"PANW","Palo Alto Networks, Inc. Common Stock","NASDAQ",128387400000,"","",184.2,,false
"HON","Honeywell International Inc. Common Stock","NASDAQ",123860145409,"","",195.09,,false
"SNY","Sanofi ADS","NASDAQ",118994138076,"","",48.46,,false
"CRWD","CrowdStrike Holdings, Inc. Class A Common Stock","NASDAQ",118173664734,"","",468.76,,false
"ARM","Arm Holdings plc American Depositary Shares","NASDAQ",115788147731,"","",109.31,,false
"VRTX","Vertex Pharmaceuticals Incorporated Common Stock","NASDAQ",115025969222,"","",453.36,,false
"CEG","Constellation Energy Corporation Common Stock","NASDAQ",110322716562,"","",353.27,,false
"CMCSA","Comcast Corporation Class A Common Stock","NASDAQ",108916006754,"","",29.89,,false
"ADP","Automatic Data Processing, Inc. Common Stock","NASDAQ",104036350419,"","",257.23,,false
"MELI","MercadoLibre, Inc. Common Stock","NASDAQ",102117305815,"","",2014.26,,false
"HOOD","Robinhood Markets, Inc. Class A Common Stock","NASDAQ",101698261084,"","",113.1,,false
