Symbol,Name,Exchange,Sector,Industry,MarketCap,LastPrice,RiskLevel,TotalScore,IsLegitimate,DataSource,SignalSummary
"NVDA","NVIDIA Corporation Common Stock","NASDAQ","Unknown","Unknown",4531950000000,186.5,"LOW",0,true,"yahoo","None"
"AAPL","Apple Inc. Common Stock","NASDAQ","Unknown","Unknown",4017099326580,271.8599853515625,"LOW",0,true,"yahoo","None"
"GOOG","Alphabet Inc. Class C Capital Stock","NASDAQ","Unknown","Unknown",3786624600000,313.79998779296875,"LOW",0,true,"yahoo","None"
"GOOGL","Alphabet Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",3776971000000,313,"LOW",0,true,"yahoo","None"
"MSFT","Microsoft Corporation Common Stock","NASDAQ","Unknown","Unknown",3594446481511,483.6199951171875,"LOW",0,true,"yahoo","None"
"AMZN","Amazon.com, Inc. Common Stock","NASDAQ","Unknown","Unknown",2467515659659,230.82000732421875,"LOW",0,true,"yahoo","None"
"META","Meta Platforms, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",1663775061504,660.0900268554688,"LOW",0,true,"yahoo","None"
"AVGO","Broadcom Inc. Common Stock","NASDAQ","Unknown","Unknown",1640954861834,346.1000061035156,"LOW",0,true,"yahoo","None"
"TSLA","Tesla, Inc. Common Stock","NASDAQ","Unknown","Unknown",1495687395783,449.7200012207031,"LOW",0,true,"yahoo","None"
"WMT","Walmart Inc. Common Stock","NASDAQ","Unknown","Unknown",887956301459,111.41000366210938,"LOW",0,true,"yahoo","None"
"PLTR","Palantir Technologies Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",423655809080,177.75,"LOW",0,true,"yahoo","None"
"ASML","ASML Holding N.V. New York Registry Shares","NASDAQ","Unknown","Unknown",420758520679,1069.8599853515625,"LOW",0,true,"yahoo","None"
"NFLX","Netflix, Inc. Common Stock","NASDAQ","Unknown","Unknown",397291436358,93.76000213623047,"LOW",0,true,"yahoo","None"
"COST","Costco Wholesale Corporation Common Stock","NASDAQ","Unknown","Unknown",382766347882,862.3400268554688,"LOW",0,true,"yahoo","None"
"AMD","Advanced Micro Devices, Inc. Common Stock","NASDAQ","Unknown","Unknown",348661376206,214.16000366210938,"LOW",0,true,"yahoo","None"
"MU","Micron Technology, Inc. Common Stock","NASDAQ","Unknown","Unknown",321231598182,285.4100036621094,"LOW",0,true,"yahoo","None"
"CSCO","Cisco Systems, Inc. Common Stock (DE)","NASDAQ","Unknown","Unknown",304352814188,77.02999877929688,"LOW",0,true,"yahoo","None"
"AZN","AstraZeneca PLC American Depositary Shares","NASDAQ","Unknown","Unknown",285116458274,91.93000030517578,"LOW",0,true,"yahoo","None"
"APP","Applovin Corporation Class A Common Stock","NASDAQ","Unknown","Unknown",227720838100,673.8200073242188,"LOW",0,true,"yahoo","None"
"TMUS","T-Mobile US, Inc. Common Stock","NASDAQ","Unknown","Unknown",227101585343,203.0399932861328,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"LRCX","Lam Research Corporation Common Stock","NASDAQ","Unknown","Unknown",215007215400,171.17999267578125,"LOW",0,true,"yahoo","None"
"SHOP","Shopify Inc. Class A Subordinate Voting Shares","NASDAQ","Unknown","Unknown",209467210940,160.97000122070312,"LOW",0,true,"yahoo","None"
"AMAT","Applied Materials, Inc. Common Stock","NASDAQ","Unknown","Unknown",203778515628,256.989990234375,"LOW",0,true,"yahoo","None"
"ISRG","Intuitive Surgical, Inc. Common Stock","NASDAQ","Unknown","Unknown",200772395904,566.3599853515625,"LOW",0,true,"yahoo","None"
"LIN","Linde plc Ordinary Shares","NASDAQ","Unknown","Unknown",199102354263,426.3900146484375,"MEDIUM",2,true,"yahoo","OVERBOUGHT_RSI"
"PEP","PepsiCo, Inc. Common Stock","NASDAQ","Unknown","Unknown",196240654309,143.52000427246094,"LOW",0,true,"yahoo","None"
"INTU","Intuit Inc. Common Stock","NASDAQ","Unknown","Unknown",184417728000,662.4199829101562,"LOW",0,true,"yahoo","None"
"QCOM","QUALCOMM Incorporated Common Stock","NASDAQ","Unknown","Unknown",183194550000,171.0500030517578,"LOW",0,true,"yahoo","None"
"AMGN","Amgen Inc. Common Stock","NASDAQ","Unknown","Unknown",176250108425,327.30999755859375,"LOW",0,true,"yahoo","None"
"BKNG","Booking Holdings Inc. Common Stock","NASDAQ","Unknown","Unknown",172622716484,5355.330078125,"LOW",0,true,"yahoo","None"
"INTC","Intel Corporation Common Stock","NASDAQ","Unknown","Unknown",161511300000,36.900001525878906,"LOW",0,true,"yahoo","None"
"PDD","PDD Holdings Inc. American Depositary Shares","NASDAQ","Unknown","Unknown",160973712326,113.38999938964844,"LOW",0,true,"yahoo","None"
"KLAC","KLA Corporation Common Stock","NASDAQ","Unknown","Unknown",159652202057,1215.0799560546875,"LOW",0,true,"yahoo","None"
"TXN","Texas Instruments Incorporated Common Stock","NASDAQ","Unknown","Unknown",157637007740,173.49000549316406,"LOW",0,true,"yahoo","None"
"GILD","Gilead Sciences, Inc. Common Stock","NASDAQ","Unknown","Unknown",152281016927,122.73999786376953,"LOW",0,true,"yahoo","None"
"ADBE","Adobe Inc. Common Stock","NASDAQ","Unknown","Unknown",146505814000,349.989990234375,"LOW",0,true,"yahoo","None"
"ADI","Analog Devices, Inc. Common Stock","NASDAQ","Unknown","Unknown",132794191106,271.20001220703125,"LOW",0,true,"yahoo","None"
"PANW","Palo Alto Networks, Inc. Common Stock","NASDAQ","Unknown","Unknown",128387400000,184.1999969482422,"LOW",0,true,"yahoo","None"
