Symbol,Name,Exchange,Sector,MarketCap,LastPrice,TotalScore,Signals
"CORT","Corcept Therapeutics Incorporated Common Stock","NASDAQ","Unknown",3660549952,34.79999923706055,5,"SPIKE_7D, HIGH_VOLATILITY"
"GENVR","Gen Digital Inc. Contingent Value Rights","NASDAQ","Unknown",2787556804,4.519999980926514,5,"MICROCAP_PRICE, MICRO_LIQUIDITY, HIGH_VOLATILITY"
"WSHP","WeShop Holdings Limited Class A Ordinary Shares","NASDAQ","Unknown",2227149885,95,7,"SPIKE_7D, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"HYMC","Hycroft Mining Holding Corporation Class A Common Stock","NASDAQ","Unknown",1973513378,23.770000457763672,8,"SPIKE_7D, SPIKE_THEN_DROP, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"ADEA","Adeia Inc. Common Stock","NASDAQ","Unknown",1889050795,17.25,5,"SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"DVAX","Dynavax Technologies Corporation Common Stock","NASDAQ","Unknown",1805996008,15.380000114440918,6,"SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"PSNY","Polestar Automotive Holding UK PLC Class A ADS","NASDAQ","Unknown",1645324853,21.3700008392334,6,"SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"OMER","Omeros Corporation Common Stock","NASDAQ","Unknown",1217715383,17.18000030517578,6,"SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"AHG","Akso Health Group ADS","NASDAQ","Unknown",905052330,1.6399999856948853,10,"MICROCAP_PRICE, MICRO_LIQUIDITY, SPIKE_7D, VOLUME_EXPLOSION, HIGH_VOLATILITY"
"DGNX","Diginex Limited Ordinary Shares","NASDAQ","Unknown",842131934,4.170000076293945,6,"MICROCAP_PRICE, SPIKE_7D, HIGH_VOLATILITY"
"HEPS","D-Market Electronic Services & Trading American Depositary Shares","NASDAQ","Unknown",797029607,2.4800000190734863,6,"MICROCAP_PRICE, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"THAR","Tharimmune, Inc. Common Stock","NASDAQ","Unknown",569339727,3.0299999713897705,5,"MICROCAP_PRICE, SPIKE_7D"
"SLS","SELLAS Life Sciences Group, Inc. Common Stock","NASDAQ","Unknown",537007241,3.7699999809265137,9,"MICROCAP_PRICE, SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"KYTX","Kyverna Therapeutics, Inc. Common Stock","NASDAQ","Unknown",536997748,9.399999618530273,7,"SPIKE_7D, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"TMCWW","TMC the metals company Inc. Warrants","NASDAQ","Unknown",533404738,1.2899999618530273,9,"MICROCAP_PRICE, SPIKE_7D, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"VNDA","Vanda Pharmaceuticals Inc. Common Stock","NASDAQ","Unknown",521232277,8.819999694824219,5,"SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"SNDL","SNDL Inc. Common Shares","NASDAQ","Unknown",427450000,1.659999966621399,6,"MICROCAP_PRICE, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"VFF","Village Farms International, Inc. Common Shares","NASDAQ","Unknown",421639846,3.6500000953674316,6,"MICROCAP_PRICE, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"CGC","Canopy Growth Corporation Common Shares","NASDAQ","Unknown",420041470,1.1399999856948853,6,"MICROCAP_PRICE, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"BYND","Beyond Meat, Inc. Common Stock","NASDAQ","Unknown",372020254,0.8199999928474426,5,"MICROCAP_PRICE, SPIKE_7D"
"TROO","TROOPS, Inc. Ordinary Shares","NASDAQ","Unknown",360032531,3.200000047683716,9,"MICROCAP_PRICE, SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"SMX","SMX (Security Matters) Public Limited Company Ordinary Shares","NASDAQ","Unknown",355218727,16.350000381469727,8,"SPIKE_7D, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"VFSWW","VinFast Auto Ltd. Warrant","NASDAQ","Unknown",350821901,0.15000000596046448,8,"MICROCAP_PRICE, MICRO_LIQUIDITY, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"PALI","Palisade Bio, Inc. Common Stock","NASDAQ","Unknown",350157544,2.3499999046325684,6,"MICROCAP_PRICE, SPIKE_7D, HIGH_VOLATILITY"
"MENS","Jyong Biotech Ltd. Ordinary Shares","NASDAQ","Unknown",300309285,3.950000047683716,5,"MICROCAP_PRICE, VOLUME_EXPLOSION, HIGH_VOLATILITY"
"DH","Definitive Healthcare Corp. Class A Common Stock","NASDAQ","Unknown",296480721,2.869999885559082,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI"
"DEFT","Defi Technologies, Inc. Common Stock","NASDAQ","Unknown",291183520,0.7549999952316284,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"GLSI","Greenwich LifeSciences, Inc. Common Stock","NASDAQ","Unknown",291083864,21.010000228881836,11,"SMALL_MARKET_CAP, SPIKE_7D, SPIKE_THEN_DROP, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"GREEL","Greenidge Generation Holdings Inc. 8.50% Senior Notes due 2026","NASDAQ","Unknown",289644746,18.479999542236328,6,"SMALL_MARKET_CAP, MICRO_LIQUIDITY, OVERBOUGHT_RSI"
"VELO","Velo3D, Inc. Common stock","NASDAQ","Unknown",287333243,13.739999771118164,6,"SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"VOR","Vor Biopharma Inc. Common Stock","NASDAQ","Unknown",286591040,13.079999923706055,6,"SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"INV","Innventure, Inc. Common Stock","NASDAQ","Unknown",283169280,4.179999828338623,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"AVIR","Atea Pharmaceuticals, Inc. Common Stock","NASDAQ","Unknown",278912662,3.569999933242798,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI"
"CLYM","Climb Bio, Inc. Common Stock","NASDAQ","Unknown",272737740,4,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"GALT","Galectin Therapeutics Inc. Common Stock","NASDAQ","Unknown",268206815,4.159999847412109,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"NCRA","Nocera, Inc. Common Stock","NASDAQ","Unknown",266903201,0.8489999771118164,10,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"SATL","Satellogic Inc. Class A Common Stock","NASDAQ","Unknown",253323580,1.8700000047683716,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"LZMH","LZ Technology Holdings Limited Class B Ordinary Shares","NASDAQ","Unknown",252436200,1.659999966621399,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"FLWS","1-800-FLOWERS.COM, Inc. Common Stock","NASDAQ","Unknown",250210976,3.930000066757202,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"ACB","Aurora Cannabis Inc. Common Shares","NASDAQ","Unknown",239289968,4.21999979019165,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"AIRJ","AirJoule Technologies Corporation Class A Common Stock","NASDAQ","Unknown",239078042,3.940000057220459,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"GDC","GD Culture Group Limited Common Stock","NASDAQ","Unknown",238495150,4.260000228881836,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"PRHIZ","Presurance Holdings, Inc. 9.75% Senior Unsecured Notes due 2028","NASDAQ","Unknown",234679315,19.200000762939453,5,"SMALL_MARKET_CAP, MICRO_LIQUIDITY, HIGH_VOLATILITY"
"OGI","Organigram Global Inc. Common Shares","NASDAQ","Unknown",225894529,1.6799999475479126,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"GSIT","GSI Technology Common Stock","NASDAQ","Unknown",218850976,6.210000038146973,6,"SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"RZLT","Rezolute, Inc. Common Stock (NV)","NASDAQ","Unknown",218836976,2.359999895095825,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"HTLM","HomesToLife Ltd Ordinary Shares","NASDAQ","Unknown",217043750,2.4200000762939453,7,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, HIGH_VOLATILITY"
"IMDX","Insight Molecular Diagnostics Inc. Common Stock","NASDAQ","Unknown",214983278,7.5,7,"SMALL_MARKET_CAP, SPIKE_7D, OVERBOUGHT_RSI"
"ICG","Intchains Group Limited American Depositary Shares","NASDAQ","Unknown",214707810,1.7899999618530273,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"OVID","Ovid Therapeutics Inc. Common Stock","NASDAQ","Unknown",212200495,1.6299999952316284,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"HYPD","Hyperion DeFi, Inc. Common Stock","NASDAQ","Unknown",209838241,3.559999942779541,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"AREC","American Resources Corporation Class A Common Stock","NASDAQ","Unknown",209830122,2.4800000190734863,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"AVR","Anteris Technologies Global Corp. Common Stock","NASDAQ","Unknown",205575874,4.989999771118164,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
