Symbol,Name,Exchange,Sector,MarketCap,LastPrice,TotalScore,DataSource,Signals
"LIN","Linde plc Ordinary Shares","NASDAQ","Unknown",199102354263,426.3900146484375,2,"yahoo","OVERBOUGHT_RSI"
"ABNB","Airbnb, Inc. Class A Common Stock","NASDAQ","Unknown",83542412884,135.72000122070312,2,"yahoo","OVERBOUGHT_RSI"
"VOD","Vodafone Group Plc American Depositary Shares","NASDAQ","Unknown",31385650070,13.210000038146973,2,"yahoo","OVERBOUGHT_RSI"
"ESLT","Elbit Systems Ltd. Ordinary Shares","NASDAQ","Unknown",25769771897,577.7100219726562,2,"yahoo","OVERBOUGHT_RSI"
"FWONK","Liberty Media Corporation Series C Liberty Formula One Common Stock","NASDAQ","Unknown",24632842887,98.51000213623047,2,"yahoo","OVERBOUGHT_RSI"
"FWONA","Liberty Media Corporation Series A Liberty Formula One Common Stock","NASDAQ","Unknown",22349847703,89.37999725341797,2,"yahoo","OVERBOUGHT_RSI"
"GRAB","Grab Holdings Limited Class A Ordinary Shares","NASDAQ","Unknown",20329948964,4.989999771118164,2,"yahoo","MICROCAP_PRICE"
"WMG","Warner Music Group Corp. Class A Common Stock","NASDAQ","Unknown",16022101820,30.670000076293945,2,"yahoo","OVERBOUGHT_RSI"
"VLYPO","Valley National Bancorp 5.50% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series B","NASDAQ","Unknown",14180672240,25.43000030517578,2,"yahoo","MICRO_LIQUIDITY"
"VLYPP","Valley National Bancorp 6.25% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series A","NASDAQ","Unknown",14102603262,25.290000915527344,2,"yahoo","MICRO_LIQUIDITY"
"BPYPN","Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units, Series 3","NASDAQ","Unknown",13826419985,13.300000190734863,2,"yahoo","MICRO_LIQUIDITY"
"RGC","Regencell Bioscience Holdings Limited Ordinary Shares","NASDAQ","Unknown",10384267068,21,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"ONBPO","Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock","NASDAQ","Unknown",9851387330,25.209999084472656,2,"yahoo","MICRO_LIQUIDITY"
"TIGO","Millicom International Cellular S.A. Common Stock","NASDAQ","Unknown",9541019149,55.439998626708984,2,"yahoo","OVERBOUGHT_RSI"
"AXSM","Axsome Therapeutics, Inc. Common Stock","NASDAQ","Unknown",9207364570,182.63999938964844,3,"yahoo","OVERBOUGHT_RSI, HIGH_VOLATILITY"
"VFS","VinFast Auto Ltd. Ordinary Shares","NASDAQ","Unknown",7811634338,3.3399999141693115,2,"yahoo","MICROCAP_PRICE"
"AUR","Aurora Innovation, Inc. Class A Common Stock","NASDAQ","Unknown",7431824602,3.8399999141693115,2,"yahoo","MICROCAP_PRICE"
"FOLD","Amicus Therapeutics, Inc. Common Stock","NASDAQ","Unknown",4393517724,14.239999771118164,3,"yahoo","OVERBOUGHT_RSI, HIGH_VOLATILITY"
"REGCP","Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock","NASDAQ","Unknown",4309147042,23.559999465942383,2,"yahoo","MICRO_LIQUIDITY"
"OXLCP","Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares","NASDAQ","Unknown",4270577360,24.600000381469727,2,"yahoo","MICRO_LIQUIDITY"
"OXLCZ","Oxford Lane Capital Corp. 5.00% Notes due 2027","NASDAQ","Unknown",4232194400,24.378999710083008,2,"yahoo","MICRO_LIQUIDITY"
